"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","5-PHOSPHO-RIBOSYL-GLYCINEAMIDE + FORMATE + ATP = PROTON + Pi + 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE + ADP","abcdefg + h + X = X + X + abhcdefg + X","","F","",""
"R2","ATP + 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE = PROTON + ADP + Pi + 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE","X + abcdefgh = X + X + X + abcdefgh","","F","",""
"R3","ATP + 5-P-BETA-D-RIBOSYL-AMINE + GLY = PROTON + ADP + Pi + 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE","X + abcde + fg = X + X + X + fabgcde","","F","",""
"R4","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R5","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R6","ATP + 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE = PROTON + ADP + Pi + 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE","X + abcdefgh = X + X + X + abcdefgh","","F","",""
"R7","FORMYL-THF-GLU-N + 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE = THF-GLU-N + 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE + PROTON","abcdefghijklmnopqrst + uvwyzAB = abcdefgihkmlnopqrst + uvjwyzAB + X","","FR","",""
"R8","ATP + 5-P-BETA-D-RIBOSYL-AMINE + GLY = PROTON + ADP + Pi + 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE","X + abcde + fg = X + X + X + fabgcde","","F","",""
"R9","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R10","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R11","5-PHOSPHO-RIBOSYL-GLYCINEAMIDE + FORMATE + ATP = PROTON + Pi + 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE + ADP","abcdefg + h + X = X + X + abhcdefg + X","","F","",""
"R12","ATP + 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE = PROTON + ADP + Pi + 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE","X + abcdefgh = X + X + X + abcdefgh","","F","",""
"R13","ATP + 5-P-BETA-D-RIBOSYL-AMINE + GLY = PROTON + ADP + Pi + 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE","X + abcde + fg = X + X + X + fabgcde","","F","",""
"R14","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R15","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
