"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","D-Xylopyranose = D-XYLULOSE","abcde = eadbc","","FR","",""
"R2","D-XYLULOSE + ATP = PROTON + XYLULOSE-5-PHOSPHATE + ADP","abcde + X = X + badce + X","","F","",""
