"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","ATP + MET + WATER = Pi + PPI + S-ADENOSYLMETHIONINE","X + abcde + X = X + X + abcde","","F","",""
"R2","ATP + MET + WATER = Pi + PPI + S-ADENOSYLMETHIONINE","X + abcde + X = X + X + abcde","","F","",""
"R3","OXYGEN-MOLECULE + L-ASPARTATE = PROTON + HYDROGEN-PEROXIDE + IMINOASPARTATE","X + abcd = X + X + abcd","","F","",""
"R4","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R5","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R6","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R7","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R8","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R9","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R10","PRPP + QUINOLINATE + PROTON + PROTON = NICOTINATE_NUCLEOTIDE + PPI + CARBON-DIOXIDE","abcde + fghijkl + X + X = fghjaibcdek + X + l","","F","",""
"R11","PRPP + QUINOLINATE + PROTON + PROTON = NICOTINATE_NUCLEOTIDE + PPI + CARBON-DIOXIDE","abcde + fghijkl + X + X = fghjaibcdek + X + l","","F","",""
"R12","AMMONIUM + ATP + DEAMIDO-NAD = PROTON + AMP + PPI + NAD","","","F","",""
"R13","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R14","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R15","PROTON + ATP + NICOTINATE_NUCLEOTIDE = PPI + DEAMIDO-NAD","X + X + abcdefghijk = X + abcdefghijk","","F","",""
"R16","L-CYSTATHIONINE = PROTON + 2-AMINOACRYLATE + HOMO-CYS","abcdefg = X + ceg + abdf","","F","",""
"R17","CYS + O-SUCCINYL-L-HOMOSERINE = PROTON + SUC + L-CYSTATHIONINE","abc + defghijk = X + edji + fgahbkc","","F","",""
"R18","HOMO-CYS + 5-METHYL-THF-GLU-N = MET + THF-GLU-N","abcd + efghijklmnopqrstuvwy = eabcd + fghijklmnopqrstuvwy","","F","",""
"R19","CPD-1302 + HOMO-CYS = MET + CPD-1301","abcdefghijklmnopqrstuvwyzABCDE + FGHI = aFGHI + bcdefghijklmnopqrstuvwyzABCDE","","F","",""
"R20","HOMO-SER + SUC-COA = O-SUCCINYL-L-HOMOSERINE + CO-A","abcd + efgh = efabcghd + X","","F","",""
"R21","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
"R22","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R23","PYRUVATE + L-ASPARTATE-SEMIALDEHYDE = CPD-14443 + WATER + PROTON","abc + defg = daefbgc + X + X","","F","",""
"R24","GLT + N-SUCCINYL-2-AMINO-6-KETOPIMELATE = 2-KETOGLUTARATE + N-SUCCINYLLL-2-6-DIAMINOPIMELATE","abcde + fghijklmnop = abcde + fhgijlkmnpo","","FR","",""
"R25","WATER + N-SUCCINYLLL-2-6-DIAMINOPIMELATE = LL-DIAMINOPIMELATE + SUC","X + abcdefghijk = acbgfkj + edih","","FR","",""
"R26","PROTON + MESO-DIAMINOPIMELATE = LYS + CARBON-DIOXIDE","X + abcdefg = acbedf + g","","F","",""
"R27","LL-DIAMINOPIMELATE = MESO-DIAMINOPIMELATE","abcdefg = abcdefg","","FR","",""
"R28","OXALACETIC_ACID + GLT = L-ASPARTATE + 2-KETOGLUTARATE","abcd + efghi = abcd + efghi","","FR","",""
"R29","O-PHOSPHO-L-HOMOSERINE + WATER = Pi + THR","abcd + X = X + bacd","","F","",""
"R30","HOMO-SER + ATP = PROTON + O-PHOSPHO-L-HOMOSERINE + ADP","abcd + X = X + abcd + X","","F","",""
"R31","NADH-P-OR-NOP + L-ASPARTATE-SEMIALDEHYDE + PROTON = NAD-P-OR-NOP + HOMO-SER","abcdefghijklmnopqrstu + vwyz + X = abcdefghijklmnopqrstu + vwyz","","F","",""
"R32","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R33","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
"R34","OXALACETIC_ACID + GLT = L-ASPARTATE + 2-KETOGLUTARATE","abcd + efghi = abcd + efghi","","FR","",""
