"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CDP + ATP = CTP + ADP","abcdefghi + X = abcdefghi + X","","F","",""
"R2","ATP + CMP = ADP + CDP","X + abcdefghi = X + abcdefghi","","F","",""
"R3","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R4","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R5","UDP + ATP = UTP + ADP","","","F","",""
"R6","ATP + UMP = ADP + UDP","","","F","",""
"R7","PRPP + URACIL = PPI + UMP","","","F","",""
"R8","PRPP + URACIL = PPI + UMP","","","F","",""
"R9","CYTIDINE + ATP = CMP + ADP + PROTON","abcdefghi + X = abcdefghi + X + X","","F","",""
"R10","URIDINE + ATP = PROTON + UMP + ADP","","","F","",""
"R11","PROTON + WATER + CYTIDINE = URIDINE + AMMONIUM","X + X + abcdefghi = abcdefghi + X","","F","",""
"R12","URIDINE + WATER = D-Ribofuranose + URACIL","abcdefghi + X = cdfgh + abei","","F","",""
"R13","PROTON + WATER + CYTIDINE = URIDINE + AMMONIUM","X + X + abcdefghi = abcdefghi + X","","F","",""
