"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","NADH-P-OR-NOP + 3-DEHYDRO-SHIKIMATE + PROTON = NAD-P-OR-NOP + SHIKIMATE","abcdefghijklmnopqrstu + vwyzABC + X = abcdefghijklmnopqrstu + vwyzABC","","F","",""
"R2","DEHYDROQUINATE = WATER + 3-DEHYDRO-SHIKIMATE","abcdefg = X + bagdcef","","FR","",""
"R3","PROTON + NADPH + 3-DEHYDRO-SHIKIMATE = NADP + SHIKIMATE","X + X + abcdefg = X + abcdefg","","FR","",""
"R4","SHIKIMATE + ATP = PROTON + SHIKIMATE-5P + ADP","abcdefg + X = X + bacedfg + X","","F","",""
"R5","SHIKIMATE-5P + PHOSPHO-ENOL-PYRUVATE = 3-ENOLPYRUVYL-SHIKIMATE-5P + Pi","abcdefg + hij = habicdefjg + X","","FR","",""
"R6","3-ENOLPYRUVYL-SHIKIMATE-5P = Pi + CHORISMATE","abcdefghij = X + acgbdehfij","","F","",""
"R7","PHOSPHO-ENOL-PYRUVATE + ERYTHROSE-4P + WATER = 3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P + Pi","abc + defg + X = aedbgfc + X","","F","",""
"R8","3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P = Pi + DEHYDROQUINATE","abcdefg = X + abcefgd","","F","",""
