"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CPDMETA-13650 + NADP + WATER = CPD0-2364 + NADPH + PROTON + PROTON","abcdefghijklmnopqrstuvwyzABCD + X + X = badcfeghiklmnopqrsjtuvwyzABCD + X + X + X","","F","",""
"R2","CPD0-2363 + WATER = CPDMETA-13650","abcdefghijklmnopqrstuvwyzABCD + X = bacdefghijklmnopqrstuvwyzABCD","","F","",""
"R3","CPD0-2363 + WATER = CPDMETA-13650","abcdefghijklmnopqrstuvwyzABCD + X = bacdefghijklmnopqrstuvwyzABCD","","F","",""
"R4","CPD0-2362 = CPD0-2363","abcdefghijklmnopqrstuvwyzABCD = bacdegfhiqjklmnoDprstuvwyzABC","","FR","",""
"R5","CPD0-2364 + CO-A = CPD0-2365 + ACETYL-COA","abcdefghijklmnopqrstuvwyzABCD + X = ecpdsf + kabghijlmnotqruvwyzABCD","","F","",""
"R6","CPD0-2365 + WATER = 3-HYDROXYADIPYL-COA","abcdefghijklmnopqrstuvwyzAB + X = abceghijfklmndopqrstuvwyzAB","","FR","",""
"R7","CPD-207 + OXYGEN-MOLECULE + NADPH + PROTON = CPD0-2362 + NADP + WATER","abcdefghijklmnopqrstuvwyzABCD + X + X + X = bacedhgijklmnoprfstuvwyzABCDq + X + X","","F","",""
"R8","3-HYDROXYADIPYL-COA + NAD = PROTON + 3-KETO-ADIPYL-COA + NADH","abcdefghijklmnopqrstuvwyzAB + X = X + abcdefghijklmnopqrstuvwyzAB + X","","FR","",""
"R9","3-KETO-ADIPYL-COA + CO-A = SUC-COA + ACETYL-COA","abcdefghijklmnopqrstuvwyzAB + X = dcqn + ibaefghjklmropstuvwyzAB","","F","",""
"R10","CO-A + PHENYLACETATE + ATP = CPD-207 + PPI + AMP","X + abcdefgh + X = abcdefgh + X + X","","F","",""
"R11","PHENYLACETALDEHYDE = PHENYLACETALDEHYDE","abcdefgh = abcdefgh","","F","",""
"R12","WATER + NAD + PHENYLACETALDEHYDE = PROTON + PROTON + NADH + PHENYLACETATE","X + X + abcdefgh = X + X + X + abcdefhg","","FR","",""
"R13","WATER + OXYGEN-MOLECULE + PHENYLETHYLAMINE = PHENYLACETALDEHYDE + AMMONIUM + HYDROGEN-PEROXIDE","X + X + abcdefgh = abcdefgh + X + X","","F","",""
