"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","NADH-P-OR-NOP + L-ASPARTATE-SEMIALDEHYDE + PROTON = NAD-P-OR-NOP + HOMO-SER","abcdefghijklmnopqrstu + vwyz + X = abcdefghijklmnopqrstu + vwyz","","F","",""
"R2","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R3","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
"R4","L-CYSTATHIONINE = PROTON + 2-AMINOACRYLATE + HOMO-CYS","abcdefg = X + ceg + abdf","","F","",""
"R5","CYS + O-SUCCINYL-L-HOMOSERINE = PROTON + SUC + L-CYSTATHIONINE","abc + defghijk = X + edji + fgahbkc","","F","",""
"R6","HOMO-CYS + 5-METHYL-THF-GLU-N = MET + THF-GLU-N","abcd + efghijklmnopqrstuvwy = eabcd + fghijklmnopqrstuvwy","","F","",""
"R7","CPD-1302 + HOMO-CYS = MET + CPD-1301","abcdefghijklmnopqrstuvwyzABCDE + FGHI = aFGHI + bcdefghijklmnopqrstuvwyzABCDE","","F","",""
"R8","HOMO-SER + SUC-COA = O-SUCCINYL-L-HOMOSERINE + CO-A","abcd + efgh = efabcghd + X","","F","",""
