"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","4-P-PANTOTHENATE + CYS + CTP = PROTON + PPI + CMP + R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE","abcdefghi + jkl + mnopqrstu = X + X + mnopqrstu + bacdjekfghli","","F","",""
"R2","PROTON + R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE = PANTETHEINE-P + CARBON-DIOXIDE","X + abcdefghijkl = bacdgefhijl + k","","F","",""
"R3","DEPHOSPHO-COA + ATP = PROTON + CO-A + ADP","","","F","",""
"R4","PROTON + PANTETHEINE-P + ATP = DEPHOSPHO-COA + PPI","X + abcdefghijk + X = bacdefghijk + X","","F","",""
