"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","WATER + CTP = PROTON + Pi + CDP","X + abcdefghi = X + X + abcdefghi","","F","",""
"R2","CDP + Red-Thioredoxin = DCDP + Ox-Thioredoxin + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R3","UDP + Red-Thioredoxin = DUDP + Ox-Thioredoxin + WATER","","","F","",""
"R4","TDP + ATP = TTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R5","TMP + ATP = TDP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R6","METHYLENE-THF-GLU-N + DUMP = TMP + DIHYDROFOLATE-GLU-N","abcdefghijklmnopqrst + uvwyzABCD = jwvyuzACBD + abcdefgihklmnopqrst","","F","",""
"R7","DUTP + WATER = PROTON + DUMP + PPI","abcdefghi + X = X + abcdefghi + X","","F","",""
"R8","DUDP + ATP = DUTP + ADP","abcdefghi + X = abcdefghi + X","","F","",""
"R9","DCDP + ATP = DCTP + ADP","abcdefghi + X = abcdefghi + X","","F","",""
"R10","CTP + Reduced-flavodoxins = DCTP + Oxidized-flavodoxins + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R11","UTP + Reduced-flavodoxins = DUTP + Oxidized-flavodoxins + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R12","TDP + ATP = TTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R13","TMP + ATP = TDP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R14","METHYLENE-THF-GLU-N + DUMP = TMP + DIHYDROFOLATE-GLU-N","abcdefghijklmnopqrst + uvwyzABCD = jwvyuzACBD + abcdefgihklmnopqrst","","F","",""
"R15","DUTP + WATER = PROTON + DUMP + PPI","abcdefghi + X = X + abcdefghi + X","","F","",""
"R16","PROTON + WATER + DCTP = AMMONIUM + DUTP","X + X + abcdefghi = X + abcdefghi","","F","",""
"R17","CTP + Reduced-flavodoxins = DCTP + Oxidized-flavodoxins + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R18","UTP + Reduced-flavodoxins = DUTP + Oxidized-flavodoxins + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R19","CDP + Reduced-NrdH-Proteins = DCDP + Oxidized-NrdH-Proteins + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R20","UDP + Reduced-NrdH-Proteins = DUDP + Oxidized-NrdH-Proteins + WATER","","","F","",""
"R21","CDP + Red-Thioredoxin = DCDP + Ox-Thioredoxin + WATER","abcdefghi + X = abgcfdehi + X + X","","F","",""
"R22","UDP + Red-Thioredoxin = DUDP + Ox-Thioredoxin + WATER","","","F","",""
"R23","TDP + ATP = TTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R24","TMP + ATP = TDP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R25","METHYLENE-THF-GLU-N + DUMP = TMP + DIHYDROFOLATE-GLU-N","abcdefghijklmnopqrst + uvwyzABCD = jwvyuzACBD + abcdefgihklmnopqrst","","F","",""
"R26","DUTP + WATER = PROTON + DUMP + PPI","abcdefghi + X = X + abcdefghi + X","","F","",""
"R27","DUDP + ATP = DUTP + ADP","abcdefghi + X = abcdefghi + X","","F","",""
"R28","PROTON + WATER + DCTP = AMMONIUM + DUTP","X + X + abcdefghi = X + abcdefghi","","F","",""
"R29","DCDP + ATP = DCTP + ADP","abcdefghi + X = abcdefghi + X","","F","",""
