"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CPD-9451 + WATER = 2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE","abcdefg + X = abdecgf","","F","",""
"R2","PROTON + CPD-7100 = 2K-4CH3-PENTANOATE + CARBON-DIOXIDE","X + abcdefg = abdceg + f","","F","",""
"R3","2-KETO-ISOVALERATE + ACETYL-COA + WATER = PROTON + 3-CARBOXY-3-HYDROXY-ISOCAPROATE + CO-A","abcde + fg + X = X + abfcged + X","","F","",""
"R4","3-CARBOXY-3-HYDROXY-ISOCAPROATE = CPD-9451 + WATER","abcdefg = abcdgef + X","","FR","",""
"R5","2K-4CH3-PENTANOATE + GLT = LEU + 2-KETOGLUTARATE","abcdef + ghijk = abcdef + ghijk","","FR","",""
"R6","2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE + NAD = CPD-7100 + NADH + PROTON","abcdefg + X = abcdefg + X + X","","FR","",""
