"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","B-KETOACYL-ACP + NADPH + PROTON = OH-ACYL-ACP + NADP","","","F","",""
"R2","TRANS-D2-ENOYL-ACP + NADH + PROTON = Saturated-Fatty-Acyl-ACPs + NAD","","","F","",""
"R3","OH-ACYL-ACP = TRANS-D2-ENOYL-ACP + WATER","","","F","",""
"R4","ACP + ACETYL-COA = ACETYL-ACP + CO-A","","","FR","",""
"R5","ATP + ACETYL-COA + HCO3 = PROTON + MALONYL-COA + Pi + ADP","X + abcdefghijklmnopqrstuvw + y = X + cbdefgahijkmnylopqrstuvw + X + X","","F","",""
"R6","ACP + ACETYL-COA = ACETYL-ACP + CO-A","","","FR","",""
"R7","Beta-hydroxydecanoyl-ACPs = Trans-D2-decenoyl-ACPs + WATER","","","F","",""
"R8","Trans-D2-decenoyl-ACPs = Cis-delta-3-decenoyl-ACPs","","","FR","",""
"R9","b-Keto-cis-D5-dodecenoyl-ACPs + NADPH + PROTON = b-Hydroxy-cis-D5-dodecenoyl-ACPs + NADP","","","F","",""
"R10","b-Hydroxy-cis-D5-dodecenoyl-ACPs = WATER + Trans-D3-cis-D5-dodecenoyl-ACPs","","","F","",""
