"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CO-A + CARNITINE + ATP = L-CARNITINYL-COA + AMP + PPI","X + abcdefg + X = abcdefg + X + X","","F","",""
"R2","L-CARNITINYL-COA = CROTONOBETAINYL-COA + WATER","abcdefghijklmnopqrstuvwyzABC = baecdpjfghkilmnoqrstuvwyzABC + X","","F","",""
"R3","CARNITINE + GAMMA-BUTYROBETAINYL-COA = L-CARNITINYL-COA + GAMMA-BUTYROBETAINE","abcdefg + hijklmnopqrstuvwyzABCDEFGHIJ = hibacopqsdetuvwfyzgBCDEFGHIJ + jklmnrA","","F","",""
"R4","CROTONOBETAINYL-COA + Donor-H2 = GAMMA-BUTYROBETAINYL-COA + Acceptor","abcdefghijklmnopqrstuvwyzABC + X = abecdfghijklmnopqrstuvwyzABC + X","","F","",""
