"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","NIACINAMIDE + WATER = AMMONIUM + NIACINE","abcdef + X = X + abcdef","","F","",""
"R2","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R3","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R4","NIACINE + PRPP + ATP + WATER = NICOTINATE_NUCLEOTIDE + PPI + ADP + Pi","abcdef + ghijk + X + X = abcdgehijkf + X + X + X","","F","",""
"R5","WATER + NAD = PROTON + PROTON + NICOTINAMIDE_NUCLEOTIDE + AMP","","","F","",""
"R6","WATER + NAD = PROTON + PROTON + NICOTINAMIDE_NUCLEOTIDE + AMP","","","F","",""
"R7","NICOTINAMIDE_NUCLEOTIDE + WATER = AMMONIUM + NICOTINATE_NUCLEOTIDE","abcdefghijk + X = X + abcdefghikj","","F","",""
"R8","PROTON + ATP + NICOTINATE_NUCLEOTIDE = PPI + DEAMIDO-NAD","X + X + abcdefghijk = X + abcdefghijk","","F","",""
